City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,port elizabeth,-33.918,25.5701,16.29,99,100,4.12,ZA,1696645499
252,al faw,29.9776,48.4741,24.0,30,6,5.83,IQ,1696645499
253,bathurst,-33.4166,149.5806,18.24,43,5,1.34,AU,1696645499
254,nhamunda,-2.1861,-56.7131,28.17,48,47,1.4,BR,1696645499
255,tughyl,47.7252,84.2063,13.76,61,100,0.58,KZ,1696645499
256,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,73,75,5.0,RU,1696645500
257,sechura,-5.5569,-80.8222,20.44,80,43,6.26,PE,1696645500
258,kas,36.2018,29.6377,22.64,62,42,1.22,TR,1696645500
259,celso ramos,-27.6344,-51.3364,17.21,99,86,0.73,BR,1696645455
260,juegang,32.3174,121.1855,20.51,72,100,5.33,CN,1696645500
261,cinisi,38.1562,13.1073,21.59,77,0,2.57,IT,1696645501
262,amalapuram,16.5833,82.0167,26.91,70,90,1.86,IN,1696645501
263,sergeyevka,53.88,67.4158,11.2,63,100,2.87,KZ,1696645501
264,floro,61.5996,5.0328,6.04,75,40,4.12,NO,1696645501
265,acarau,-2.8856,-40.12,26.19,83,84,6.04,BR,1696645467
266,korla,41.7597,86.1469,18.64,31,89,5.09,CN,1696645501
267,coari,-4.085,-63.1414,28.69,56,98,1.1,BR,1696645501
268,remire-montjoly,4.9167,-52.2667,28.02,83,20,1.03,GF,1696645502
269,nagqu,31.5,92.0,4.01,31,95,2.15,CN,1696645502
270,sangin,32.0728,64.8359,16.45,40,0,2.85,AF,1696645502
271,gilgit,35.9221,74.3087,19.55,48,7,0.24,PK,1696645502
272,warmbad,-28.45,18.7333,13.29,49,22,4.47,NA,1696645502
273,porto novo,6.4965,2.6036,24.03,95,100,2.02,BJ,1696645503
274,ust-nera,64.5667,143.2,-2.1,96,100,1.79,RU,1696645503
275,coquimbo,-29.9533,-71.3436,12.85,76,0,2.06,CL,1696645503
276,noumea,-22.2763,166.4572,26.99,64,98,4.6,NC,1696645015
277,pimentel,-6.8367,-79.9342,21.16,78,75,9.26,PE,1696645503
278,lorengau,-2.0226,147.2712,27.08,85,71,6.6,PG,1696645503
